edge index,traverse frequency,avg traverse time(s),geometry,points sequence
402,16,15.0,"LINESTRING (-8.5788761 41.1460517, -8.578886 41.1460967)","[[-8.5788761, 41.1460517], [-8.578886, 41.1460967]]"
11051,16,15.0,"LINESTRING (-8.578886 41.1460967, -8.5788892 41.1461112, -8.5789242 41.1461655, -8.5789783 41.14621, -8.579047 41.146241)","[[-8.578886, 41.1460967], [-8.5788892, 41.1461112], [-8.5789242, 41.1461655], [-8.5789783, 41.14621], [-8.579047, 41.146241]]"
403,16,15.0,"LINESTRING (-8.579047 41.146241, -8.5790976 41.1462529, -8.5791502 41.1462573)","[[-8.579047, 41.146241], [-8.5790976, 41.1462529], [-8.5791502, 41.1462573]]"
396,17,15.0,"LINESTRING (-8.5791502 41.1462573, -8.5792126 41.1462527, -8.5792721 41.1462377)","[[-8.5791502, 41.1462573], [-8.5792126, 41.1462527], [-8.5792721, 41.1462377]]"
397,16,15.0,"LINESTRING (-8.5792721 41.1462377, -8.5793879 41.1462612, -8.5794814 41.1463013, -8.5796626 41.146385)","[[-8.5792721, 41.1462377], [-8.5793879, 41.1462612], [-8.5794814, 41.1463013], [-8.5796626, 41.146385]]"
390,17,15.882352941176471,"LINESTRING (-8.5796626 41.146385, -8.5798504 41.1465446, -8.5799991 41.1466604, -8.5800893 41.1467594, -8.5801426 41.1468573, -8.5801755 41.1469568, -8.5801747 41.1470502, -8.5801648 41.1471238, -8.5801399 41.1471997, -8.5801083 41.1472624, -8.5798884 41.147567, -8.5796492 41.1478861, -8.5793775 41.1483683)","[[-8.5796626, 41.146385], [-8.5798504, 41.1465446], [-8.5799991, 41.1466604], [-8.5800893, 41.1467594], [-8.5801426, 41.1468573], [-8.5801755, 41.1469568], [-8.5801747, 41.1470502], [-8.5801648, 41.1471238], [-8.5801399, 41.1471997], [-8.5801083, 41.1472624], [-8.5798884, 41.147567], [-8.5796492, 41.1478861], [-8.5793775, 41.1483683]]"
16,17,15.0,"LINESTRING (-8.5793775 41.1483683, -8.5792124 41.1485993, -8.5789795 41.1489896, -8.5788626 41.1493052, -8.5788068 41.1495113, -8.5787907 41.1496759, -8.5787812 41.1498356)","[[-8.5793775, 41.1483683], [-8.5792124, 41.1485993], [-8.5789795, 41.1489896], [-8.5788626, 41.1493052], [-8.5788068, 41.1495113], [-8.5787907, 41.1496759], [-8.5787812, 41.1498356]]"
10052,17,15.0,"LINESTRING (-8.5787812 41.1498356, -8.578805 41.1500416, -8.5788145 41.1501299, -8.5788645 41.1503484, -8.5789177 41.1505673, -8.5789978 41.1507592, -8.579097 41.1509367, -8.5792813 41.1512011, -8.5794968 41.1514529, -8.5801756 41.1520755)","[[-8.5787812, 41.1498356], [-8.578805, 41.1500416], [-8.5788145, 41.1501299], [-8.5788645, 41.1503484], [-8.5789177, 41.1505673], [-8.5789978, 41.1507592], [-8.579097, 41.1509367], [-8.5792813, 41.1512011], [-8.5794968, 41.1514529], [-8.5801756, 41.1520755]]"
13,17,15.0,"LINESTRING (-8.5801756 41.1520755, -8.5805065 41.1523496, -8.5806624 41.1524734)","[[-8.5801756, 41.1520755], [-8.5805065, 41.1523496], [-8.5806624, 41.1524734]]"
4805,2,15.0,"LINESTRING (-8.5806624 41.1524734, -8.580729 41.1526015, -8.5808081 41.1526916, -8.5811979 41.1530822, -8.581361 41.1533053, -8.5814612 41.1534454, -8.5815349 41.1535788, -8.5816788 41.153894)","[[-8.5806624, 41.1524734], [-8.580729, 41.1526015], [-8.5808081, 41.1526916], [-8.5811979, 41.1530822], [-8.581361, 41.1533053], [-8.5814612, 41.1534454], [-8.5815349, 41.1535788], [-8.5816788, 41.153894]]"
4807,2,15.0,"LINESTRING (-8.5816788 41.153894, -8.581682 41.1539788, -8.5816931 41.1540245)","[[-8.5816788, 41.153894], [-8.581682, 41.1539788], [-8.5816931, 41.1540245]]"
2177,2,15.0,"LINESTRING (-8.5816931 41.1540245, -8.5816591 41.1541269, -8.5816322 41.1542506, -8.5816028 41.1543511, -8.5815814 41.1544442, -8.5815882 41.1544855, -8.5816021 41.1545217, -8.5817146 41.1546389, -8.5817979 41.1547251, -8.5818654 41.1548212)","[[-8.5816931, 41.1540245], [-8.5816591, 41.1541269], [-8.5816322, 41.1542506], [-8.5816028, 41.1543511], [-8.5815814, 41.1544442], [-8.5815882, 41.1544855], [-8.5816021, 41.1545217], [-8.5817146, 41.1546389], [-8.5817979, 41.1547251], [-8.5818654, 41.1548212]]"
2218,2,15.0,"LINESTRING (-8.5818654 41.1548212, -8.5819564 41.154966, -8.5819891 41.1550432, -8.5820171 41.1551248, -8.5820807 41.1553776, -8.5820968 41.1554415)","[[-8.5818654, 41.1548212], [-8.5819564, 41.154966], [-8.5819891, 41.1550432], [-8.5820171, 41.1551248], [-8.5820807, 41.1553776], [-8.5820968, 41.1554415]]"
2201,2,15.0,"LINESTRING (-8.5820968 41.1554415, -8.5821417 41.1556339, -8.5821744 41.1557997)","[[-8.5820968, 41.1554415], [-8.5821417, 41.1556339], [-8.5821744, 41.1557997]]"
2203,1,,"LINESTRING (-8.5821744 41.1557997, -8.5820542 41.1558095, -8.5817826 41.1558337, -8.5805637 41.1559095, -8.5805051 41.1559154, -8.5804764 41.1559225, -8.58045 41.1559348, -8.5804317 41.1559494, -8.5804181 41.1559692)","[[-8.5821744, 41.1557997], [-8.5820542, 41.1558095], [-8.5817826, 41.1558337], [-8.5805637, 41.1559095], [-8.5805051, 41.1559154], [-8.5804764, 41.1559225], [-8.58045, 41.1559348], [-8.5804317, 41.1559494], [-8.5804181, 41.1559692]]"
2210,1,,"LINESTRING (-8.5804181 41.1559692, -8.5803812 41.156011, -8.5803517 41.156043, -8.5803154 41.1560814, -8.5802555 41.1561214, -8.5801673 41.1561575)","[[-8.5804181, 41.1559692], [-8.5803812, 41.156011], [-8.5803517, 41.156043], [-8.5803154, 41.1560814], [-8.5802555, 41.1561214], [-8.5801673, 41.1561575]]"
2214,5,15.0,"LINESTRING (-8.5801673 41.1561575, -8.579842 41.1561785, -8.5797621 41.1561827)","[[-8.5801673, 41.1561575], [-8.579842, 41.1561785], [-8.5797621, 41.1561827]]"
2189,6,15.0,"LINESTRING (-8.5797621 41.1561827, -8.5791462 41.1562041)","[[-8.5797621, 41.1561827], [-8.5791462, 41.1562041]]"
5194,6,15.0,"LINESTRING (-8.5791462 41.1562041, -8.5785407 41.1562161)","[[-8.5791462, 41.1562041], [-8.5785407, 41.1562161]]"
2191,6,15.0,"LINESTRING (-8.5785407 41.1562161, -8.5785524 41.1564989)","[[-8.5785407, 41.1562161], [-8.5785524, 41.1564989]]"
4904,4,15.0,"LINESTRING (-8.5785524 41.1564989, -8.5786276 41.1579203)","[[-8.5785524, 41.1564989], [-8.5786276, 41.1579203]]"
2233,6,15.0,"LINESTRING (-8.5786276 41.1579203, -8.5786551 41.1585115)","[[-8.5786276, 41.1579203], [-8.5786551, 41.1585115]]"
2194,6,15.0,"LINESTRING (-8.5786551 41.1585115, -8.5786325 41.1586951)","[[-8.5786551, 41.1585115], [-8.5786325, 41.1586951]]"
2249,5,15.0,"LINESTRING (-8.5786325 41.1586951, -8.578541 41.1593186, -8.5785326 41.159393)","[[-8.5786325, 41.1586951], [-8.578541, 41.1593186], [-8.5785326, 41.159393]]"
4912,3,15.0,"LINESTRING (-8.5785326 41.159393, -8.5785053 41.1596451, -8.5784351 41.1602394, -8.5784171 41.1603402)","[[-8.5785326, 41.159393], [-8.5785053, 41.1596451], [-8.5784351, 41.1602394], [-8.5784171, 41.1603402]]"
2232,6,15.0,"LINESTRING (-8.5784171 41.1603402, -8.5785156 41.1603171)","[[-8.5784171, 41.1603402], [-8.5785156, 41.1603171]]"
6116,1,,"LINESTRING (-8.5785156 41.1603171, -8.5784152 41.1604835, -8.5781235 41.1608381)","[[-8.5785156, 41.1603171], [-8.5784152, 41.1604835], [-8.5781235, 41.1608381]]"
7617,17,17.5,"LINESTRING (-8.6483268 41.154247, -8.6483727 41.1542421, -8.648562 41.1542165, -8.6487617 41.1542026, -8.6489687 41.1541831, -8.6492744 41.1541673, -8.6497113 41.1541625, -8.6498529 41.1541883)","[[-8.6483268, 41.154247], [-8.6483727, 41.1542421], [-8.648562, 41.1542165], [-8.6487617, 41.1542026], [-8.6489687, 41.1541831], [-8.6492744, 41.1541673], [-8.6497113, 41.1541625], [-8.6498529, 41.1541883]]"
4169,5,15.0,"LINESTRING (-8.6494288 41.1674889, -8.6495391 41.1672162, -8.6495529 41.1671789)","[[-8.6494288, 41.1674889], [-8.6495391, 41.1672162], [-8.6495529, 41.1671789]]"
10519,10,43.333333333333336,"LINESTRING (-8.6495529 41.1671789, -8.6495663 41.1671428, -8.6495872 41.1670939, -8.6497414 41.166568, -8.6497562 41.1665177, -8.6498122 41.1663173)","[[-8.6495529, 41.1671789], [-8.6495663, 41.1671428], [-8.6495872, 41.1670939], [-8.6497414, 41.166568], [-8.6497562, 41.1665177], [-8.6498122, 41.1663173]]"
2677,4,15.0,"LINESTRING (-8.6498122 41.1663173, -8.6498619 41.1661706, -8.6499361 41.1659512, -8.650123 41.1654057, -8.6501532 41.1653214, -8.65024 41.1650236)","[[-8.6498122, 41.1663173], [-8.6498619, 41.1661706], [-8.6499361, 41.1659512], [-8.650123, 41.1654057], [-8.6501532, 41.1653214], [-8.65024, 41.1650236]]"
2685,4,25.0,"LINESTRING (-8.65024 41.1650236, -8.6502749 41.1649057, -8.6502876 41.1648704, -8.6503445 41.1646775, -8.650379 41.1645604, -8.6503899 41.1645233, -8.650419 41.1644246, -8.6504612 41.1642815, -8.6504749 41.164235, -8.6504863 41.1641963, -8.6505408 41.1640152, -8.6505453 41.1640001, -8.6505495 41.163986, -8.6506088 41.1637852, -8.6506177 41.163755, -8.6506673 41.1635857, -8.6506788 41.1635464, -8.6507165 41.163418, -8.6507246 41.1633903, -8.6507311 41.1633681, -8.6507392 41.1633392, -8.6507703 41.1632333, -8.6507933 41.1631551, -8.6508071 41.1631117, -8.6508476 41.1629754, -8.6508589 41.1629383, -8.6508657 41.162914, -8.6508964 41.1628046, -8.6509115 41.1627477, -8.6509203 41.1627162, -8.6509263 41.1626921, -8.6509751 41.1625087, -8.6509835 41.1624772, -8.6509969 41.1624228, -8.6510042 41.1623931, -8.6510323 41.1622786, -8.6510405 41.1622504, -8.6510727 41.1621166, -8.6511101 41.1619961, -8.6511279 41.1619388)","[[-8.65024, 41.1650236], [-8.6502749, 41.1649057], [-8.6502876, 41.1648704], [-8.6503445, 41.1646775], [-8.650379, 41.1645604], [-8.6503899, 41.1645233], [-8.650419, 41.1644246], [-8.6504612, 41.1642815], [-8.6504749, 41.164235], [-8.6504863, 41.1641963], [-8.6505408, 41.1640152], [-8.6505453, 41.1640001], [-8.6505495, 41.163986], [-8.6506088, 41.1637852], [-8.6506177, 41.163755], [-8.6506673, 41.1635857], [-8.6506788, 41.1635464], [-8.6507165, 41.163418], [-8.6507246, 41.1633903], [-8.6507311, 41.1633681], [-8.6507392, 41.1633392], [-8.6507703, 41.1632333], [-8.6507933, 41.1631551], [-8.6508071, 41.1631117], [-8.6508476, 41.1629754], [-8.6508589, 41.1629383], [-8.6508657, 41.162914], [-8.6508964, 41.1628046], [-8.6509115, 41.1627477], [-8.6509203, 41.1627162], [-8.6509263, 41.1626921], [-8.6509751, 41.1625087], [-8.6509835, 41.1624772], [-8.6509969, 41.1624228], [-8.6510042, 41.1623931], [-8.6510323, 41.1622786], [-8.6510405, 41.1622504], [-8.6510727, 41.1621166], [-8.6511101, 41.1619961], [-8.6511279, 41.1619388]]"
5300,2,15.0,"LINESTRING (-8.6511279 41.1619388, -8.6511839 41.1617587, -8.6512071 41.1616841)","[[-8.6511279, 41.1619388], [-8.6511839, 41.1617587], [-8.6512071, 41.1616841]]"
5421,6,15.0,"LINESTRING (-8.6512071 41.1616841, -8.6511987 41.1616043)","[[-8.6512071, 41.1616841], [-8.6511987, 41.1616043]]"
11031,6,15.0,"LINESTRING (-8.6511987 41.1616043, -8.6511678 41.1615656, -8.6511136 41.1615444, -8.6510154 41.1615101)","[[-8.6511987, 41.1616043], [-8.6511678, 41.1615656], [-8.6511136, 41.1615444], [-8.6510154, 41.1615101]]"
5420,13,17.5,"LINESTRING (-8.6489004 41.1611537, -8.6477437 41.160958, -8.6473024 41.1608857)","[[-8.6489004, 41.1611537], [-8.6477437, 41.160958], [-8.6473024, 41.1608857]]"
6771,13,27.5,"LINESTRING (-8.6473024 41.1608857, -8.6466742 41.160781, -8.6464951 41.1607512, -8.6454093 41.1605642)","[[-8.6473024, 41.1608857], [-8.6466742, 41.160781], [-8.6464951, 41.1607512], [-8.6454093, 41.1605642]]"
9021,13,27.5,"LINESTRING (-8.6454093 41.1605642, -8.6447926 41.1604583, -8.6447458 41.1604503, -8.6444722 41.1604074, -8.6443836 41.1603961, -8.6443123 41.160387, -8.6441811 41.1603705, -8.6441372 41.1603646, -8.6439449 41.1603361)","[[-8.6454093, 41.1605642], [-8.6447926, 41.1604583], [-8.6447458, 41.1604503], [-8.6444722, 41.1604074], [-8.6443836, 41.1603961], [-8.6443123, 41.160387], [-8.6441811, 41.1603705], [-8.6441372, 41.1603646], [-8.6439449, 41.1603361]]"
183,11,30.0,"LINESTRING (-8.6439449 41.1603361, -8.6436513 41.1602864, -8.6423588 41.1600675, -8.6423077 41.1600589, -8.6420585 41.1600204)","[[-8.6439449, 41.1603361], [-8.6436513, 41.1602864], [-8.6423588, 41.1600675], [-8.6423077, 41.1600589], [-8.6420585, 41.1600204]]"
185,11,15.0,"LINESTRING (-8.6420585 41.1600204, -8.6416183 41.1599508, -8.6414663 41.1599268)","[[-8.6420585, 41.1600204], [-8.6416183, 41.1599508], [-8.6414663, 41.1599268]]"
10385,17,15.0,"LINESTRING (-8.6414663 41.1599268, -8.6408527 41.1598248, -8.6408012 41.1598166, -8.6406313 41.1597917)","[[-8.6414663, 41.1599268], [-8.6408527, 41.1598248], [-8.6408012, 41.1598166], [-8.6406313, 41.1597917]]"
5435,9,30.0,"LINESTRING (-8.6406313 41.1597917, -8.6401592 41.1597133, -8.6399167 41.1596731, -8.6396025 41.1596209, -8.6395264 41.1596083, -8.6391531 41.1595463, -8.6390924 41.1595362, -8.6390547 41.15953, -8.6390253 41.1595251, -8.6388981 41.159503, -8.6386304 41.1594564, -8.6384994 41.1594337, -8.6384147 41.1594191, -8.6383617 41.1594097, -8.6382292 41.1593895)","[[-8.6406313, 41.1597917], [-8.6401592, 41.1597133], [-8.6399167, 41.1596731], [-8.6396025, 41.1596209], [-8.6395264, 41.1596083], [-8.6391531, 41.1595463], [-8.6390924, 41.1595362], [-8.6390547, 41.15953], [-8.6390253, 41.1595251], [-8.6388981, 41.159503], [-8.6386304, 41.1594564], [-8.6384994, 41.1594337], [-8.6384147, 41.1594191], [-8.6383617, 41.1594097], [-8.6382292, 41.1593895]]"
7232,12,17.5,"LINESTRING (-8.6382292 41.1593895, -8.6380399 41.1593576, -8.6379707 41.159346, -8.6375691 41.1592784, -8.6373255 41.1592373, -8.6369328 41.1591712)","[[-8.6382292, 41.1593895], [-8.6380399, 41.1593576], [-8.6379707, 41.159346], [-8.6375691, 41.1592784], [-8.6373255, 41.1592373], [-8.6369328, 41.1591712]]"
5445,4,15.0,"LINESTRING (-8.6369328 41.1591712, -8.6369557 41.1591032, -8.6370174 41.1589328, -8.6370364 41.1588803, -8.6372915 41.1581756, -8.6373253 41.1580897)","[[-8.6369328, 41.1591712], [-8.6369557, 41.1591032], [-8.6370174, 41.1589328], [-8.6370364, 41.1588803], [-8.6372915, 41.1581756], [-8.6373253, 41.1580897]]"
2451,7,27.5,"LINESTRING (-8.6373253 41.1580897, -8.639436 41.1584325, -8.6396588 41.1584687, -8.6403831 41.1585863, -8.6408508 41.158663, -8.6409629 41.1586844)","[[-8.6373253, 41.1580897], [-8.639436, 41.1584325], [-8.6396588, 41.1584687], [-8.6403831, 41.1585863], [-8.6408508, 41.158663], [-8.6409629, 41.1586844]]"
2417,10,15.0,"LINESTRING (-8.6409629 41.1586844, -8.6411909 41.1579384)","[[-8.6409629, 41.1586844], [-8.6411909, 41.1579384]]"
1474,10,15.0,"LINESTRING (-8.6411909 41.1579384, -8.6412607 41.1577116, -8.6413731 41.1573462, -8.6413903 41.1572905)","[[-8.6411909, 41.1579384], [-8.6412607, 41.1577116], [-8.6413731, 41.1573462], [-8.6413903, 41.1572905]]"
1488,9,15.0,"LINESTRING (-8.6413903 41.1572905, -8.6415279 41.1568565)","[[-8.6413903, 41.1572905], [-8.6415279, 41.1568565]]"
1490,12,15.0,"LINESTRING (-8.6415279 41.1568565, -8.6415702 41.1567246, -8.6416044 41.1565961)","[[-8.6415279, 41.1568565], [-8.6415702, 41.1567246], [-8.6416044, 41.1565961]]"
1485,4,15.0,"LINESTRING (-8.6416044 41.1565961, -8.6415256 41.1565845, -8.6410327 41.1564857)","[[-8.6416044, 41.1565961], [-8.6415256, 41.1565845], [-8.6410327, 41.1564857]]"
2590,4,15.0,"LINESTRING (-8.6410327 41.1564857, -8.6403646 41.1563493, -8.6402549 41.1563269)","[[-8.6410327, 41.1564857], [-8.6403646, 41.1563493], [-8.6402549, 41.1563269]]"
5102,4,15.0,"LINESTRING (-8.6402549 41.1563269, -8.6395425 41.1561702, -8.6393106 41.1561192)","[[-8.6402549, 41.1563269], [-8.6395425, 41.1561702], [-8.6393106, 41.1561192]]"
2448,4,15.0,"LINESTRING (-8.6393106 41.1561192, -8.6390104 41.1560605, -8.6384165 41.1559444)","[[-8.6393106, 41.1561192], [-8.6390104, 41.1560605], [-8.6384165, 41.1559444]]"
7449,4,15.0,"LINESTRING (-8.6384165 41.1559444, -8.6375739 41.1557658, -8.637468 41.1557405)","[[-8.6384165, 41.1559444], [-8.6375739, 41.1557658], [-8.637468, 41.1557405]]"
767,2,15.0,"LINESTRING (-8.6173405 41.1449455, -8.6173596 41.1448659, -8.6173308 41.1447316, -8.6173221 41.1446912, -8.6173314 41.1446462, -8.6173763 41.1445776)","[[-8.6173405, 41.1449455], [-8.6173596, 41.1448659], [-8.6173308, 41.1447316], [-8.6173221, 41.1446912], [-8.6173314, 41.1446462], [-8.6173763, 41.1445776]]"
6988,2,22.5,"LINESTRING (-8.6173763 41.1445776, -8.6174159 41.1445092, -8.617529 41.1443238, -8.6178113 41.1439195, -8.6182111 41.1434166, -8.6182205 41.1433974, -8.6182205 41.1433853, -8.6182178 41.1433702, -8.6182098 41.143352, -8.6182044 41.1433389, -8.6181964 41.1433258, -8.6181679 41.1432917)","[[-8.6173763, 41.1445776], [-8.6174159, 41.1445092], [-8.617529, 41.1443238], [-8.6178113, 41.1439195], [-8.6182111, 41.1434166], [-8.6182205, 41.1433974], [-8.6182205, 41.1433853], [-8.6182178, 41.1433702], [-8.6182098, 41.143352], [-8.6182044, 41.1433389], [-8.6181964, 41.1433258], [-8.6181679, 41.1432917]]"
7746,4,15.0,"LINESTRING (-8.6181679 41.1432917, -8.6177779 41.1431662)","[[-8.6181679, 41.1432917], [-8.6177779, 41.1431662]]"
7743,3,15.0,"LINESTRING (-8.6177779 41.1431662, -8.6176403 41.1431129)","[[-8.6177779, 41.1431662], [-8.6176403, 41.1431129]]"
7745,3,15.0,"LINESTRING (-8.6176403 41.1431129, -8.6175969 41.1430853, -8.6175741 41.1430722, -8.6175017 41.1430086, -8.6174829 41.1429945, -8.6174641 41.1429894, -8.6174467 41.1429945)","[[-8.6176403, 41.1431129], [-8.6175969, 41.1430853], [-8.6175741, 41.1430722], [-8.6175017, 41.1430086], [-8.6174829, 41.1429945], [-8.6174641, 41.1429894], [-8.6174467, 41.1429945]]"
7738,4,15.0,"LINESTRING (-8.6174467 41.1429945, -8.617361 41.1427233, -8.6173517 41.1426999, -8.6173332 41.1426813, -8.6170547 41.1425511, -8.616929 41.1424817)","[[-8.6174467, 41.1429945], [-8.617361, 41.1427233], [-8.6173517, 41.1426999], [-8.6173332, 41.1426813], [-8.6170547, 41.1425511], [-8.616929, 41.1424817]]"
3367,3,15.0,"LINESTRING (-8.616929 41.1424817, -8.6170739 41.1424572, -8.6172214 41.1424461, -8.6175191 41.1424541, -8.6175553 41.1424471, -8.6175794 41.142434, -8.617593 41.1424237, -8.6176063 41.1424137, -8.6176291 41.1423905, -8.6176398 41.1423582, -8.6176438 41.1423228, -8.6176452 41.1422905, -8.6176452 41.1422673)","[[-8.616929, 41.1424817], [-8.6170739, 41.1424572], [-8.6172214, 41.1424461], [-8.6175191, 41.1424541], [-8.6175553, 41.1424471], [-8.6175794, 41.142434], [-8.617593, 41.1424237], [-8.6176063, 41.1424137], [-8.6176291, 41.1423905], [-8.6176398, 41.1423582], [-8.6176438, 41.1423228], [-8.6176452, 41.1422905], [-8.6176452, 41.1422673]]"
7732,3,15.0,"LINESTRING (-8.6176452 41.1422673, -8.6176385 41.1422531, -8.6176277 41.14224, -8.6176103 41.1422239, -8.6175862 41.1422118, -8.617537 41.142193, -8.617507 41.1421815, -8.617483 41.1421727, -8.6169584 41.1420254, -8.6165362 41.1418909)","[[-8.6176452, 41.1422673], [-8.6176385, 41.1422531], [-8.6176277, 41.14224], [-8.6176103, 41.1422239], [-8.6175862, 41.1422118], [-8.617537, 41.142193], [-8.617507, 41.1421815], [-8.617483, 41.1421727], [-8.6169584, 41.1420254], [-8.6165362, 41.1418909]]"
3369,4,22.5,"LINESTRING (-8.6165362 41.1418909, -8.6167542 41.1416713)","[[-8.6165362, 41.1418909], [-8.6167542, 41.1416713]]"
1063,3,30.0,"LINESTRING (-8.6167542 41.1416713, -8.6166557 41.1416682, -8.6166255 41.1416675, -8.6163187 41.1416617, -8.6162665 41.1416608, -8.6159889 41.1416557, -8.6153982 41.141645, -8.6153732 41.1416445, -8.6153136 41.1416589)","[[-8.6167542, 41.1416713], [-8.6166557, 41.1416682], [-8.6166255, 41.1416675], [-8.6163187, 41.1416617], [-8.6162665, 41.1416608], [-8.6159889, 41.1416557], [-8.6153982, 41.141645], [-8.6153732, 41.1416445], [-8.6153136, 41.1416589]]"
246,11,15.0,"LINESTRING (-8.6153136 41.1416589, -8.615312 41.1417127, -8.6153135 41.1425021)","[[-8.6153136, 41.1416589], [-8.615312, 41.1417127], [-8.6153135, 41.1425021]]"
1059,2,15.0,"LINESTRING (-8.6153135 41.1425021, -8.6153647 41.1424899, -8.6156498 41.1424185, -8.6158328 41.142358, -8.6161845 41.1422095, -8.6162647 41.142152, -8.6165362 41.1418909)","[[-8.6153135, 41.1425021], [-8.6153647, 41.1424899], [-8.6156498, 41.1424185], [-8.6158328, 41.142358], [-8.6161845, 41.1422095], [-8.6162647, 41.142152], [-8.6165362, 41.1418909]]"
247,2,15.0,"LINESTRING (-8.6153136 41.1416589, -8.615206 41.1416595, -8.6149111 41.1416545, -8.6146964 41.1416504, -8.6146518 41.1416497, -8.6145205 41.1416486)","[[-8.6153136, 41.1416589], [-8.615206, 41.1416595], [-8.6149111, 41.1416545], [-8.6146964, 41.1416504], [-8.6146518, 41.1416497], [-8.6145205, 41.1416486]]"
7707,25,23.333333333333332,"LINESTRING (-8.6146391 41.1410216, -8.6146916 41.1410021, -8.6150578 41.1408658, -8.615197 41.140814, -8.6152285 41.1408037, -8.6153165 41.140775)","[[-8.6146391, 41.1410216], [-8.6146916, 41.1410021], [-8.6150578, 41.1408658], [-8.615197, 41.140814], [-8.6152285, 41.1408037], [-8.6153165, 41.140775]]"
7829,12,23.18181818181818,"LINESTRING (-8.6153165 41.140775, -8.615393 41.1407501, -8.6154822 41.1407199, -8.6157974 41.1406159)","[[-8.6153165, 41.140775], [-8.615393, 41.1407501], [-8.6154822, 41.1407199], [-8.6157974, 41.1406159]]"
8474,8,17.142857142857142,"LINESTRING (-8.6157974 41.1406159, -8.6160216 41.1405362, -8.6160826 41.1405194, -8.6161892 41.14049, -8.6163213 41.1404856, -8.6163459 41.1404877, -8.6164684 41.1404984, -8.6165973 41.1405354, -8.6174342 41.1409169)","[[-8.6157974, 41.1406159], [-8.6160216, 41.1405362], [-8.6160826, 41.1405194], [-8.6161892, 41.14049], [-8.6163213, 41.1404856], [-8.6163459, 41.1404877], [-8.6164684, 41.1404984], [-8.6165973, 41.1405354], [-8.6174342, 41.1409169]]"
236,6,17.5,"LINESTRING (-8.6328764 41.146954, -8.6330857 41.1470684, -8.6337433 41.1474276)","[[-8.6328764, 41.146954], [-8.6330857, 41.1470684], [-8.6337433, 41.1474276]]"
232,5,15.0,"LINESTRING (-8.6337433 41.1474276, -8.6338769 41.1474847, -8.6344362 41.1476992, -8.6349636 41.1478484, -8.6353043 41.1479468, -8.6359246 41.1481085)","[[-8.6337433, 41.1474276], [-8.6338769, 41.1474847], [-8.6344362, 41.1476992], [-8.6349636, 41.1478484], [-8.6353043, 41.1479468], [-8.6359246, 41.1481085]]"
223,5,15.0,"LINESTRING (-8.6359246 41.1481085, -8.636537 41.1482282, -8.6368506 41.1482719, -8.6370282 41.1482938, -8.6375375 41.1483305)","[[-8.6359246, 41.1481085], [-8.636537, 41.1482282], [-8.6368506, 41.1482719], [-8.6370282, 41.1482938], [-8.6375375, 41.1483305]]"
222,6,22.5,"LINESTRING (-8.6375375 41.1483305, -8.6386158 41.1483953, -8.6399939 41.1484717, -8.6402582 41.1484598, -8.6405896 41.1484311, -8.6409263 41.1483551, -8.6415429 41.1482073, -8.6418667 41.1481347, -8.642183 41.1480796, -8.6424342 41.1480489, -8.6427201 41.1480275, -8.6429337 41.1480233, -8.6431456 41.1480334, -8.6457443 41.1483728, -8.6459497 41.148402)","[[-8.6375375, 41.1483305], [-8.6386158, 41.1483953], [-8.6399939, 41.1484717], [-8.6402582, 41.1484598], [-8.6405896, 41.1484311], [-8.6409263, 41.1483551], [-8.6415429, 41.1482073], [-8.6418667, 41.1481347], [-8.642183, 41.1480796], [-8.6424342, 41.1480489], [-8.6427201, 41.1480275], [-8.6429337, 41.1480233], [-8.6431456, 41.1480334], [-8.6457443, 41.1483728], [-8.6459497, 41.148402]]"
219,9,17.142857142857142,"LINESTRING (-8.6459497 41.148402, -8.6461764 41.1484325, -8.6464234 41.148458, -8.6469042 41.1484748, -8.6474164 41.1484475, -8.6475927 41.1484217, -8.6479638 41.1483674, -8.6484771 41.1482384)","[[-8.6459497, 41.148402], [-8.6461764, 41.1484325], [-8.6464234, 41.148458], [-8.6469042, 41.1484748], [-8.6474164, 41.1484475], [-8.6475927, 41.1484217], [-8.6479638, 41.1483674], [-8.6484771, 41.1482384]]"
1045,5,15.0,"LINESTRING (-8.6484771 41.1482384, -8.6487167 41.1481559, -8.6489376 41.1480879, -8.649328 41.1479492, -8.6495269 41.1478902, -8.6497113 41.1478746, -8.6499405 41.1478928, -8.6502208 41.1479337)","[[-8.6484771, 41.1482384], [-8.6487167, 41.1481559], [-8.6489376, 41.1480879], [-8.649328, 41.1479492], [-8.6495269, 41.1478902], [-8.6497113, 41.1478746], [-8.6499405, 41.1478928], [-8.6502208, 41.1479337]]"
9487,5,18.75,"LINESTRING (-8.6502208 41.1479337, -8.6511218 41.1480651, -8.6512568 41.1480823, -8.6518043 41.1481522, -8.6519992 41.1481771, -8.6530122 41.1482955, -8.6532324 41.1483481)","[[-8.6502208, 41.1479337], [-8.6511218, 41.1480651], [-8.6512568, 41.1480823], [-8.6518043, 41.1481522], [-8.6519992, 41.1481771], [-8.6530122, 41.1482955], [-8.6532324, 41.1483481]]"
215,6,15.0,"LINESTRING (-8.6532324 41.1483481, -8.6532244 41.1483786, -8.6532288 41.1484051, -8.653235 41.148445, -8.6532474 41.1484773, -8.6532736 41.1485143)","[[-8.6532324, 41.1483481], [-8.6532244, 41.1483786], [-8.6532288, 41.1484051], [-8.653235, 41.148445], [-8.6532474, 41.1484773], [-8.6532736, 41.1485143]]"
